GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
64.71,0.886,3.6,4.045,5.4,2,0.056,6
60.79,0.829,2.9,4.36,5.5,2,0.037,6
78.55,0.754,2.0,9.795,5.7,2,0.019,6
107.77,0.713,1.8,19.545,4.0,1,1.0,3
110.87,0.686,6.0,26.65,3.3,1,0.974,3
106.33,0.665,8.6,26.94,2.8,1,0.949,3
87.85,0.64,9.6,21.77,2.7,1,0.923,3
80.96,0.601,9.0,15.99,2.9,1,0.897,3
66.94,0.568,11.2,12.565,3.5,1,0.872,2
61.48,0.561,12.0,11.69,4.2,1,0.846,2
58.26,0.568,12.4,12.285,4.2,1,0.821,2
51.31,0.585,12.7,11.735,3.9,1,0.795,2
67.92,0.583,13.2,11.73,3.9,1,0.769,2
67.77,0.566,14.1,12.475,3.9,1,0.744,2
67.73,0.543,14.4,13.095,3.8,1,0.718,2
68.85,0.516,12.1,13.35,3.7,1,0.692,2
73.2,0.496,9.7,15.12,3.6,1,0.667,2
84.46,0.486,6.1,20.48,3.6,1,0.641,3
96.96,0.483,7.0,23.225,3.4,1,0.615,3
95.54,0.486,9.4,21.305,3.5,1,0.59,3
88.67,0.493,13.2,17.235,3.4,1,0.564,3
88.54,0.501,13.1,16.71,3.5,1,0.538,3
92.22,0.501,11.2,18.675,3.5,1,0.513,3
89.67,0.491,4.9,20.405,3.3,1,0.487,2
91.17,0.47,2.2,20.3,3.1,1,0.462,2
83.62,0.435,5.1,17.16,2.8,1,0.436,2
85.0,0.401,8.3,15.87,2.8,1,0.41,2
77.7,0.371,7.5,16.85,2.9,1,0.385,2
74.29,0.334,6.1,17.3,2.9,1,0.359,2
70.21,0.307,5.4,17.57,2.9,1,0.333,2
76.38,0.297,4.7,17.195,3.0,1,0.308,2
76.28,0.301,4.4,16.415,3.0,1,0.282,2
69.04,0.314,4.1,14.19,3.2,1,0.256,2
78.11,0.338,5.8,13.25,3.4,1,0.231,2
84.18,0.377,6.8,15.72,3.8,1,0.205,3
85.85,0.428,6.6,20.045,3.5,1,0.179,3
89.6,0.47,4.4,20.455,3.3,1,0.154,3
80.61,0.509,3.6,16.78,3.1,1,0.128,3
79.36,0.539,7.5,11.78,3.3,1,0.103,3
83.05,0.548,8.1,14.545,3.7,1,0.077,3
95.0,0.556,9.2,23.83,3.6,1,0.051,3
85.04,0.629,6.4,26.67,3.1,2,1.0,5
46.18,0.668,4.3,16.61,3.1,2,0.944,5
34.53,0.703,4.9,8.22,3.5,2,0.889,5
35.19,0.744,7.9,4.71,4.6,2,0.833,5
27.85,0.803,7.8,4.24,4.8,2,0.778,8
23.48,0.913,6.0,4.22,4.7,2,0.722,8
20.42,1.031,5.0,3.785,4.6,2,0.667,8
20.55,1.147,4.1,3.145,5.1,2,0.611,8
19.99,1.292,4.7,2.195,5.4,2,0.556,8
21.18,1.405,5.2,1.59,5.9,2,0.5,8
18.63,1.452,4.7,1.755,6.1,2,0.444,8
29.41,1.465,4.2,2.36,6.0,2,0.389,6
43.09,1.48,3.1,3.11,5.8,2,0.333,6
48.95,1.479,4.2,2.95,5.6,2,0.278,6
45.84,1.437,4.1,3.03,5.6,2,0.222,6
45.04,1.36,4.2,3.02,5.7,2,0.167,6
42.92,1.249,3.6,3.445,5.7,2,0.111,6
53.11,1.104,3.3,4.095,5.9,2,0.056,6
67.55,0.966,4.2,5.13,5.1,1,1.0,3
73.99,0.862,6.1,7.84,4.6,1,0.964,3
83.09,0.806,9.4,11.2,3.9,1,0.929,3
97.28,0.763,10.5,13.97,3.6,1,0.893,3
95.16,0.714,9.6,12.96,3.4,1,0.857,2
79.88,0.661,8.6,10.425,3.3,1,0.821,2
76.38,0.602,8.9,8.785,3.5,1,0.786,2
75.68,0.561,11.4,10.305,3.6,1,0.75,2
84.59,0.537,13.4,13.745,3.9,1,0.714,2
103.43,0.525,14.6,16.66,3.9,1,0.679,3
103.41,0.522,14.7,17.625,3.9,1,0.643,3
99.27,0.52,13.0,16.245,3.8,1,0.607,3
92.94,0.516,12.1,14.85,3.7,1,0.571,3
92.9,0.507,11.4,13.27,3.8,1,0.536,3
80.32,0.504,11.0,12.48,3.7,1,0.5,3
83.63,0.512,10.1,11.525,4.0,1,0.464,2
67.81,0.529,9.4,11.31,4.1,1,0.429,2
67.88,0.559,9.7,10.865,4.3,1,0.393,2
64.39,0.589,8.4,10.365,4.4,1,0.357,2
61.99,0.604,6.9,9.385,4.4,1,0.321,2
62.5,0.604,5.5,8.53,4.3,1,0.286,2
58.64,0.58,5.3,8.6,4.2,1,0.25,2
64.04,0.543,5.7,9.98,4.0,1,0.214,2
78.8,0.519,5.4,13.745,3.7,1,0.179,2
78.88,0.502,2.0,21.885,3.7,1,0.143,3
86.88,0.5,-3.8,33.79,3.2,1,0.107,3
83.97,0.519,-2.0,37.47,3.0,1,0.071,3
70.01,0.543,-4.3,31.57,2.8,1,0.036,3
50.7,0.567,1.6,16.04,2.9,2,1.0,7
30.81,0.601,1.9,5.725,3.6,2,0.938,7
17.35,0.656,4.2,2.73,5.0,2,0.875,7
17.55,0.747,4.7,2.925,5.8,2,0.813,8
18.19,0.855,5.6,3.285,6.2,2,0.75,8
17.08,0.982,5.4,3.99,6.3,2,0.688,8
15.88,1.107,5.5,4.34,6.2,2,0.625,8
20.38,1.17,5.0,4.645,5.9,2,0.563,8
24.93,1.173,5.1,4.77,5.8,2,0.5,8
28.57,1.15,4.5,4.725,5.8,2,0.438,8
34.54,1.115,5.0,4.365,5.7,2,0.375,8
42.34,1.064,5.3,4.4,5.7,2,0.313,8
44.21,1.008,5.5,4.86,5.5,2,0.25,8
44.15,0.943,4.1,5.47,5.6,2,0.188,6
39.25,0.88,3.9,5.905,5.6,2,0.125,6
38.37,0.812,5.7,7.13,5.4,2,0.063,6
60.63,0.74,9.1,9.33,4.7,1,1.0,2
83.69,0.684,12.4,11.31,4.0,1,0.967,2
87.3,0.648,13.7,11.975,3.6,1,0.933,2
89.07,0.619,13.7,12.065,3.6,1,0.9,2
91.06,0.584,12.9,12.21,3.7,1,0.867,2
98.37,0.559,12.0,12.485,3.7,1,0.833,2
87.1,0.548,11.3,12.23,3.7,1,0.8,2
83.81,0.542,10.9,11.67,3.5,1,0.767,2
83.11,0.535,10.4,11.96,3.4,1,0.733,2
85.4,0.529,11.1,13.05,3.3,1,0.7,2
86.83,0.524,11.5,13.735,3.3,1,0.667,2
80.54,0.515,11.2,13.6,3.3,1,0.633,2
77.67,0.501,10.3,12.905,3.2,1,0.6,2
74.74,0.489,8.9,12.575,3.3,1,0.567,2
75.06,0.481,8.8,12.305,3.2,1,0.533,2
76.98,0.477,8.3,12.35,3.2,1,0.5,2
79.6,0.471,8.5,12.855,3.2,1,0.467,2
92.95,0.467,8.6,14.3,3.3,1,0.433,2
94.25,0.467,9.0,14.21,3.3,1,0.4,2
83.12,0.467,9.1,13.64,3.3,1,0.367,2
75.02,0.471,9.2,12.5,3.4,1,0.333,2
62.61,0.48,8.7,11.92,3.3,1,0.3,2
68.47,0.487,8.2,11.635,3.3,1,0.267,2
69.58,0.484,7.3,11.265,3.3,1,0.233,2
76.05,0.479,7.5,11.375,3.5,1,0.2,2
89.53,0.471,8.4,12.285,3.5,1,0.167,2
97.25,0.464,9.1,15.135,3.5,1,0.133,3
95.12,0.474,8.1,21.93,3.5,1,0.1,3
91.67,0.501,6.4,26.715,3.3,1,0.067,3
85.15,0.521,3.7,25.875,3.2,1,0.033,3
65.17,0.534,2.5,18.92,3.2,2,1.0,8
32.9,0.547,2.3,12.215,3.7,2,0.917,8
19.92,0.549,1.9,10.63,4.8,2,0.833,8
14.52,0.549,2.4,11.06,5.2,2,0.75,8
14.75,0.558,3.5,12.15,5.4,2,0.667,8
15.01,0.565,3.9,13.16,5.2,2,0.583,8
15.68,0.56,3.7,14.02,5.2,2,0.5,8
16.96,0.55,3.0,14.255,5.3,2,0.417,8
15.78,0.534,3.1,12.705,5.5,2,0.333,8
15.71,0.507,3.9,11.095,5.7,2,0.25,8
17.29,0.484,3.6,10.225,5.7,2,0.167,8
25.4,0.476,3.5,10.81,5.6,2,0.083,8
54.3,0.48,5.7,11.865,5.1,1,1.0,2
77.86,0.493,8.0,11.795,4.0,1,0.966,2
81.08,0.496,8.6,11.345,3.6,1,0.931,2
64.84,0.489,6.8,10.6,3.3,1,0.897,2
68.3,0.476,6.3,10.89,3.5,1,0.862,2
62.2,0.456,6.0,11.805,3.4,1,0.828,2
62.13,0.447,6.8,12.205,3.4,1,0.793,2
59.9,0.447,7.5,12.495,3.4,1,0.759,2
66.76,0.446,7.6,12.57,3.3,1,0.724,2
68.75,0.441,8.4,12.535,3.4,1,0.69,2
89.47,0.431,10.0,13.055,3.3,1,0.655,2
92.28,0.42,12.3,14.46,3.3,1,0.621,2
89.52,0.41,13.6,15.78,3.2,1,0.586,2
72.44,0.401,11.6,15.58,3.3,1,0.552,2
65.12,0.389,10.4,15.095,3.2,1,0.517,2
61.43,0.375,7.4,14.62,3.2,1,0.483,2
64.01,0.362,6.4,15.335,3.0,1,0.448,2
60.03,0.354,4.5,15.0,3.0,1,0.414,2
66.07,0.348,4.4,14.44,3.1,1,0.379,2
74.64,0.344,5.0,13.845,3.2,1,0.345,2
76.08,0.344,5.9,14.19,3.3,1,0.31,2
77.9,0.35,6.8,14.375,3.3,1,0.276,2
90.26,0.354,7.1,14.075,3.2,1,0.241,2
100.24,0.362,6.9,13.22,3.2,1,0.207,2
104.57,0.367,8.0,14.63,3.2,1,0.172,2
117.83,0.382,8.6,18.955,3.4,1,0.138,2
119.71,0.403,12.2,24.86,3.5,1,0.103,2
114.49,0.436,13.7,26.24,3.2,1,0.069,2
76.16,0.473,12.7,21.64,3.1,1,0.034,2
34.5,0.509,8.2,15.465,3.4,2,1.0,8
17.99,0.548,3.1,11.83,4.7,2,0.889,8
16.23,0.597,1.7,9.835,5.9,2,0.778,8
16.97,0.669,1.3,7.54,5.7,2,0.667,8
18.68,0.745,2.3,5.93,5.7,2,0.556,8
30.74,0.778,3.6,5.83,5.8,2,0.444,8
46.76,0.775,3.6,6.47,5.6,2,0.333,8
49.39,0.732,3.9,6.69,5.3,2,0.222,6
44.23,0.669,5.7,7.985,5.0,2,0.111,6
54.96,0.602,7.3,10.27,4.2,1,1.0,3
68.62,0.55,9.9,13.345,3.6,1,0.941,3
84.84,0.507,11.0,14.745,3.1,1,0.882,2
82.8,0.462,11.9,16.365,3.2,1,0.824,2
95.56,0.425,11.0,18.035,3.4,1,0.765,3
106.29,0.401,8.4,21.3,3.2,1,0.706,3
95.11,0.394,7.8,21.825,3.2,1,0.647,3
96.55,0.391,8.2,20.44,3.1,1,0.588,3
92.19,0.391,11.1,17.735,3.3,1,0.529,3
100.17,0.391,11.6,18.11,3.2,1,0.471,3
101.7,0.387,11.9,19.115,3.2,1,0.412,3
100.5,0.38,13.8,18.12,3.2,1,0.353,3
102.07,0.369,15.5,17.425,3.4,1,0.294,3
109.83,0.358,15.2,18.72,3.7,1,0.235,3
118.17,0.354,18.5,21.295,3.9,1,0.176,3
119.16,0.358,17.9,24.97,3.8,1,0.118,3
63.36,0.384,8.2,20.85,3.3,2,1.0,6
44.37,0.398,6.1,14.47,3.4,2,0.95,6
37.71,0.413,4.7,12.17,4.0,2,0.9,6
37.36,0.438,4.4,12.545,5.0,2,0.85,6
39.66,0.467,4.6,13.01,5.0,2,0.8,6
52.61,0.487,5.1,12.835,5.3,2,0.75,8
53.75,0.501,5.2,12.71,6.0,2,0.7,8
59.61,0.504,5.5,12.8,6.1,2,0.65,8
62.99,0.501,5.1,12.9,5.6,2,0.6,8
72.39,0.496,4.6,12.795,5.1,2,0.55,8
81.12,0.496,4.3,12.595,5.0,2,0.5,8
234.8,0.515,4.7,11.41,4.8,2,0.4,8
234.8,0.515,4.7,11.41,4.8,2,0.4,8
273.48,0.538,5.3,10.045,5.1,2,0.35,8
164.34,0.573,5.9,8.48,5.3,2,0.3,8
101.5,0.6,5.9,7.805,5.7,2,0.25,8
84.6,0.616,4.3,7.58,5.7,2,0.2,6
84.6,0.616,4.3,7.58,5.7,2,0.2,6
91.02,0.621,3.5,7.795,5.7,2,0.15,8
116.04,0.605,3.8,7.73,5.5,2,0.1,4
129.74,0.574,5.0,8.61,4.7,2,0.05,4
130.95,0.545,6.2,12.17,4.2,1,1.0,3
127.25,0.519,7.5,17.585,3.6,1,0.982,3
115.33,0.484,10.4,20.065,3.3,1,0.965,3
110.37,0.453,13.2,19.63,3.2,1,0.947,3
95.97,0.433,12.9,17.945,3.2,1,0.93,3
92.1,0.415,14.9,17.19,3.5,1,0.912,3
92.33,0.401,14.7,16.855,3.6,1,0.895,3
84.32,0.401,14.9,17.04,3.7,1,0.877,3
85.93,0.405,14.1,16.725,3.7,1,0.86,3
86.15,0.41,13.5,16.505,3.7,1,0.842,3
87.94,0.418,13.6,16.735,3.6,1,0.825,3
86.68,0.425,14.1,16.94,3.6,1,0.807,3
85.31,0.431,14.7,17.845,3.5,1,0.789,3
86.99,0.441,13.9,18.455,3.5,1,0.772,3
88.41,0.456,13.4,18.05,3.6,1,0.754,3
85.73,0.471,13.6,15.635,3.8,1,0.737,3
79.97,0.48,13.1,13.72,4.1,1,0.719,3
72.32,0.489,13.4,13.05,4.3,1,0.702,3
69.7,0.496,13.0,13.785,4.2,1,0.684,3
78.44,0.504,13.5,13.815,4.1,1,0.667,3
82.19,0.509,12.2,14.275,4.0,1,0.649,3
85.45,0.509,12.6,15.215,4.0,1,0.632,3
92.63,0.508,13.7,16.465,3.9,1,0.614,3
88.92,0.507,14.6,16.885,3.9,1,0.596,3
90.45,0.505,13.7,16.3,3.8,1,0.579,3
87.42,0.504,12.7,15.225,4.0,1,0.561,3
84.11,0.507,12.5,15.12,4.0,1,0.544,3
87.26,0.509,12.0,15.145,3.9,1,0.526,3
84.87,0.511,12.0,14.82,3.9,1,0.509,3
84.88,0.507,11.3,14.335,3.9,1,0.491,3
88.37,0.493,10.5,15.695,4.2,1,0.474,3
90.68,0.48,11.1,18.01,4.2,1,0.456,3
94.56,0.471,12.3,20.75,3.9,1,0.439,3
96.31,0.462,15.0,22.025,3.6,1,0.421,3
99.42,0.456,17.2,22.97,3.4,1,0.404,3
97.55,0.453,16.7,22.12,3.4,1,0.386,3
98.51,0.45,15.3,20.35,3.6,1,0.368,3
86.18,0.452,13.5,17.53,3.7,1,0.351,2
89.44,0.461,12.2,16.31,3.8,1,0.333,2
89.13,0.471,11.7,15.875,3.9,1,0.316,2
87.64,0.484,12.1,15.865,3.8,1,0.298,2
84.34,0.502,12.3,15.685,3.9,1,0.281,2
83.26,0.517,12.3,15.23,3.8,1,0.263,2
84.8,0.525,12.5,14.78,4.0,1,0.246,2
84.02,0.531,10.8,15.47,3.9,1,0.228,2
90.99,0.535,10.9,15.235,3.9,1,0.211,3
83.72,0.537,11.4,14.25,3.9,1,0.193,3
81.44,0.538,10.9,14.015,4.0,1,0.175,3
80.51,0.538,10.1,14.465,3.9,1,0.158,3
83.93,0.539,10.0,15.11,3.8,1,0.14,3
83.36,0.535,10.1,15.73,3.7,1,0.123,3
86.69,0.529,10.9,15.115,3.8,1,0.105,3
86.71,0.521,10.6,13.995,3.7,1,0.088,3
84.91,0.515,11.0,14.065,3.9,1,0.07,3
84.75,0.516,13.6,20.0,3.7,1,0.053,3
87.88,0.543,16.2,23.385,3.6,1,0.035,3
86.06,0.584,15.0,20.82,3.3,1,0.018,3
56.43,0.627,10.4,12.115,3.7,2,1.0,5
32.69,0.667,6.2,6.42,4.4,2,0.99,5
25.06,0.708,5.9,4.845,5.5,2,0.98,5
18.26,0.77,5.3,4.695,5.2,2,0.971,5
18.28,0.874,4.9,4.67,5.0,2,0.961,5
14.41,0.947,3.9,5.705,5.1,2,0.951,5
13.99,0.983,2.3,7.35,5.2,2,0.941,8
13.28,0.983,0.1,8.365,5.4,2,0.931,8
16.71,0.946,0.1,8.53,5.4,2,0.922,8
31.35,0.907,3.7,8.695,5.0,2,0.912,8
49.41,0.881,9.4,10.025,4.5,2,0.902,5
65.33,0.862,13.3,9.785,4.0,2,0.892,5
64.3,0.841,11.1,9.24,4.3,2,0.882,5
42.48,0.819,7.1,8.02,4.7,2,0.873,5
29.96,0.794,4.8,7.48,4.8,2,0.863,8
21.23,0.772,3.5,7.98,5.0,2,0.853,8
28.09,0.768,2.2,8.295,5.1,2,0.843,8
31.12,0.775,1.5,8.515,5.2,2,0.833,8
36.63,0.78,0.9,8.165,4.8,2,0.824,5
36.1,0.783,0.5,8.115,4.3,2,0.814,5
42.06,0.787,0.6,7.475,4.0,2,0.804,5
44.31,0.792,1.5,6.77,4.0,2,0.794,5
43.19,0.803,2.1,6.215,4.1,2,0.784,5
39.82,0.82,2.3,6.04,4.3,2,0.775,5
41.71,0.839,2.3,6.61,4.4,2,0.765,5
43.02,0.865,2.5,7.01,4.3,2,0.755,5
42.6,0.889,2.4,7.33,4.2,2,0.745,5
41.53,0.906,2.7,6.94,4.0,2,0.735,5
46.69,0.918,2.1,6.705,4.2,2,0.725,5
49.0,0.929,2.4,6.685,4.3,2,0.716,5
51.83,0.936,2.1,7.07,4.5,2,0.706,5
45.87,0.94,2.7,7.445,4.2,2,0.696,5
45.87,0.94,2.7,7.445,4.2,2,0.696,5
46.83,0.943,2.4,7.655,4.4,2,0.686,5
47.5,0.946,2.9,7.705,4.0,2,0.676,5
48.88,0.947,3.1,7.33,4.0,2,0.667,5
45.88,0.949,4.6,6.865,3.8,2,0.657,5
51.63,0.952,4.3,6.88,4.1,2,0.647,5
49.28,0.954,3.9,7.085,4.3,2,0.637,5
52.4,0.956,3.7,7.105,4.4,2,0.627,5
50.59,0.96,4.3,6.665,4.5,2,0.618,5
49.71,0.963,4.5,6.645,4.6,2,0.608,5
46.48,0.967,4.8,6.69,4.6,2,0.598,5
50.19,0.972,4.6,6.815,4.5,2,0.588,5
55.85,0.969,4.7,6.475,4.3,2,0.578,5
74.49,0.954,4.8,6.14,4.2,2,0.569,5
126.32,0.936,5.2,6.41,4.2,2,0.559,4
274.0,0.92,6.9,7.65,4.5,2,0.549,4
358.74,0.903,8.5,10.035,4.6,2,0.539,4
361.15,0.896,9.9,12.255,4.8,2,0.529,4
227.99,0.894,10.3,12.67,4.7,2,0.52,4
115.43,0.893,10.0,11.24,4.6,2,0.51,5
80.43,0.893,9.3,9.055,4.3,2,0.5,5
65.06,0.898,8.4,8.13,4.5,2,0.49,5
49.86,0.91,7.6,7.585,4.8,2,0.48,5
51.04,0.925,7.3,7.795,5.1,2,0.471,5
52.63,0.942,7.6,7.84,5.0,2,0.461,5
56.88,0.975,7.8,8.3,4.9,2,0.441,5
60.61,0.982,7.8,8.335,4.9,2,0.431,5
57.36,0.985,7.6,8.07,4.7,2,0.422,5
53.58,0.986,7.2,8.13,4.6,2,0.412,5
52.02,0.986,7.1,8.165,4.7,2,0.402,5
53.66,0.986,7.4,8.46,4.8,2,0.392,5
55.22,0.985,7.7,8.54,4.8,2,0.382,5
50.16,0.982,7.2,8.38,4.7,2,0.373,5
55.6,0.971,7.1,8.295,4.5,2,0.363,5
53.77,0.955,6.8,8.035,4.5,2,0.353,5
50.23,0.937,7.1,8.86,4.6,2,0.343,5
63.43,0.915,7.1,9.95,5.0,2,0.333,5
61.93,0.889,8.0,11.39,5.2,2,0.324,5
68.62,0.863,8.1,12.28,5.1,2,0.314,5
74.18,0.836,8.2,12.17,4.8,2,0.304,5
73.86,0.816,8.0,12.37,4.7,2,0.294,4
71.51,0.798,8.9,12.94,4.6,2,0.284,4
79.77,0.782,10.0,14.235,4.4,2,0.275,4
80.9,0.776,11.0,14.86,4.3,2,0.265,4
96.85,0.775,9.4,13.74,4.3,2,0.255,4
92.76,0.771,7.8,11.48,4.4,2,0.245,4
51.5,0.762,6.6,8.025,4.1,2,0.225,6
47.77,0.756,7.4,9.425,4.1,2,0.216,6
54.15,0.751,6.4,11.7,4.9,2,0.206,6
50.45,0.74,4.3,13.34,5.0,2,0.196,6
32.78,0.723,1.2,13.11,5.1,2,0.186,9
23.5,0.711,0.3,12.3,5.2,2,0.176,9
28.33,0.706,0.5,11.79,5.3,2,0.167,9
31.12,0.704,1.7,11.325,5.3,2,0.157,9
28.68,0.709,1.9,11.165,5.4,2,0.147,9
31.67,0.721,1.6,10.535,5.4,2,0.137,9
39.75,0.733,0.9,10.04,5.5,2,0.127,9
36.56,0.747,2.0,8.545,5.3,2,0.118,9
36.56,0.747,2.0,8.545,5.3,2,0.118,9
37.21,0.764,2.7,7.73,5.6,2,0.108,9
35.8,0.777,2.5,8.195,5.7,2,0.098,9
36.56,0.784,1.4,10.29,5.8,2,0.088,9
27.96,0.791,1.6,12.12,5.5,2,0.078,8
26.3,0.797,2.1,12.385,5.4,2,0.069,8
19.97,0.803,1.9,11.12,5.5,2,0.059,8
17.92,0.808,1.5,9.73,5.4,2,0.049,8
17.92,0.808,1.5,9.73,5.4,2,0.049,8
16.51,0.814,2.0,8.275,5.5,2,0.039,8
21.94,0.82,3.3,7.68,5.4,2,0.029,8
32.54,0.821,2.5,7.445,5.8,2,0.02,8
47.7,0.814,1.6,7.34,5.8,2,0.01,8
98.36,0.642,-0.1,18.685,2.9,1,1.0,2
97.57,0.631,7.9,16.745,3.2,1,0.984,2
98.41,0.615,12.8,14.105,3.2,1,0.968,2
85.92,0.597,13.0,13.385,3.4,1,0.952,2
83.16,0.592,12.3,13.345,3.4,1,0.935,2
82.56,0.599,12.9,13.105,3.5,1,0.919,2
83.12,0.611,13.2,14.0,3.3,1,0.903,2
84.26,0.62,12.8,13.685,3.3,1,0.887,2
86.29,0.627,13.2,13.92,3.2,1,0.871,2
80.95,0.629,13.0,13.975,3.2,1,0.855,2
79.07,0.629,13.0,14.235,3.2,1,0.839,2
75.31,0.626,11.4,13.17,3.2,1,0.823,2
69.3,0.625,10.1,12.32,3.0,1,0.806,2
69.16,0.626,9.0,11.805,3.0,1,0.79,2
69.03,0.624,10.0,11.72,3.2,1,0.774,2
64.95,0.622,10.1,11.75,3.4,1,0.758,2
78.95,0.607,12.0,12.155,3.4,1,0.742,2
82.36,0.58,11.7,12.955,3.2,1,0.726,2
80.27,0.543,11.1,12.865,3.1,1,0.71,2
78.87,0.507,8.5,12.23,2.9,1,0.694,2
66.38,0.473,6.2,11.89,2.8,1,0.677,2
58.63,0.444,4.4,12.44,2.7,1,0.661,1
59.16,0.413,3.7,13.64,2.6,1,0.645,1
52.86,0.378,2.5,14.49,2.6,1,0.629,1
54.32,0.344,1.1,15.085,2.6,1,0.613,1
